Time,Symbol,Funding Rate,Funding Rate Daily
"Jan 5, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 5, 2022, 5:00:00",XBTUSD,0.01,0.03
"Jan 4, 2022, 9:00:00",XBTUSD,0.0099,0.0297
"Jan 4, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 4, 2022, 5:00:00",XBTUSD,-0.0068,-0.0204
"Jan 3, 2022, 9:00:00",XBTUSD,-0.0099,-0.0297
"Jan 3, 2022, 1:00:00",XBTUSD,0.01,0.03
"Jan 3, 2022, 5:00:00",XBTUSD,0.0016,0.0048
"Jan 2, 2022, 9:00:00",XBTUSD,0.0012,0.0036
"Jan 2, 2022, 1:00:00",XBTUSD,-0.0058,-0.0174
"Jan 2, 2022, 5:00:00",XBTUSD,0.0058,0.0174
"Jan 1, 2022, 9:00:00",XBTUSD,-0.0181,-0.0543
"Jan 1, 2022, 1:00:00",XBTUSD,0.0002,0.0006
"Jan 1, 2022, 5:00:00",XBTUSD,0.0085,0.0255
"Dec 31, 2021, 9:00:00",XBTUSD,0.0068,0.0204
"Dec 31, 2021, 1:00:00",XBTUSD,-0.0014,-0.0042
"Dec 31, 2021, 5:00:00",XBTUSD,0.0047,0.0141
"Dec 30, 2021, 9:00:00",XBTUSD,0.0056,0.0168
"Dec 30, 2021, 1:00:00",XBTUSD,-0.0018,-0.0054
"Dec 30, 2021, 5:00:00",XBTUSD,-0.0041,-0.0123
"Dec 29, 2021, 9:00:00",XBTUSD,-0.0001,-0.0003
"Dec 29, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 29, 2021, 5:00:00",XBTUSD,0.0093,0.0279
"Dec 28, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 28, 2021, 1:00:00",XBTUSD,0.0038,0.0114
"Dec 28, 2021, 5:00:00",XBTUSD,-0.005,-0.015
"Dec 27, 2021, 9:00:00",XBTUSD,0.0067,0.0201
"Dec 27, 2021, 1:00:00",XBTUSD,0.0092,0.0276
"Dec 27, 2021, 5:00:00",XBTUSD,0.0064,0.0192
"Dec 26, 2021, 9:00:00",XBTUSD,0.0092,0.0276
"Dec 26, 2021, 1:00:00",XBTUSD,-0.0084,-0.0252
"Dec 26, 2021, 5:00:00",XBTUSD,-0.0143,-0.0429
"Dec 25, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 25, 2021, 1:00:00",XBTUSD,0.0032,0.0096
"Dec 25, 2021, 5:00:00",XBTUSD,-0.0072,-0.0216
"Dec 24, 2021, 9:00:00",XBTUSD,0.0008,0.0024
"Dec 24, 2021, 1:00:00",XBTUSD,-0.0062,-0.0186
"Dec 24, 2021, 5:00:00",XBTUSD,-0.0016,-0.0048
"Dec 23, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 23, 2021, 1:00:00",XBTUSD,0.0081,0.0243
"Dec 23, 2021, 5:00:00",XBTUSD,-0.0035,-0.0105
"Dec 22, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 22, 2021, 1:00:00",XBTUSD,0.0068,0.0204
"Dec 22, 2021, 5:00:00",XBTUSD,-0.002,-0.006
"Dec 21, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 21, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 21, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 20, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 20, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 20, 2021, 5:00:00",XBTUSD,-0.0026,-0.0078
"Dec 19, 2021, 9:00:00",XBTUSD,0.002,0.006
"Dec 19, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 19, 2021, 5:00:00",XBTUSD,0.0066,0.0198
"Dec 18, 2021, 9:00:00",XBTUSD,-0.0048,-0.0144
"Dec 18, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 18, 2021, 5:00:00",XBTUSD,0.0081,0.0243
"Dec 17, 2021, 9:00:00",XBTUSD,-0.0064,-0.0192
"Dec 17, 2021, 1:00:00",XBTUSD,-0.0021,-0.0063
"Dec 17, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 16, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 16, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 16, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 15, 2021, 9:00:00",XBTUSD,0.0023,0.0069
"Dec 15, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 15, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 14, 2021, 9:00:00",XBTUSD,0.0078,0.0234
"Dec 14, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 14, 2021, 5:00:00",XBTUSD,-0.0046,-0.0138
"Dec 13, 2021, 9:00:00",XBTUSD,-0.0009,-0.0027
"Dec 13, 2021, 1:00:00",XBTUSD,-0.0085,-0.0255
"Dec 13, 2021, 5:00:00",XBTUSD,-0.0061,-0.0183
"Dec 12, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 12, 2021, 1:00:00",XBTUSD,-0.0149,-0.0447
"Dec 12, 2021, 5:00:00",XBTUSD,-0.0056,-0.0168
"Dec 11, 2021, 9:00:00",XBTUSD,0.0053,0.0159
"Dec 11, 2021, 1:00:00",XBTUSD,-0.0013,-0.0039
"Dec 11, 2021, 5:00:00",XBTUSD,0.0069,0.0207
"Dec 10, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 10, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 10, 2021, 5:00:00",XBTUSD,0.007,0.021
"Dec 9, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 9, 2021, 1:00:00",XBTUSD,0.0097,0.0291
"Dec 9, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 8, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 8, 2021, 1:00:00",XBTUSD,0.01,0.03
"Dec 8, 2021, 5:00:00",XBTUSD,0.01,0.03
"Dec 7, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 7, 2021, 1:00:00",XBTUSD,-0.0144,-0.0432
"Dec 7, 2021, 5:00:00",XBTUSD,-0.0168,-0.0504
"Dec 6, 2021, 9:00:00",XBTUSD,0.01,0.03
"Dec 6, 2021, 1:00:00",XBTUSD,0.0044,0.0132
"Dec 6, 2021, 5:00:00",XBTUSD,-0.0072,-0.0216
"Dec 5, 2021, 9:00:00",XBTUSD,-0.0231,-0.0693
