,0,1,2,3
126,"Feb 9, 2022, 9:00:00",FTMUSDT,0.01,0.03
127,"Feb 9, 2022, 9:00:00",SHIBUSDT,0.01,0.03
128,"Feb 9, 2022, 9:00:00",LTCUSDT,0.01,0.03
129,"Feb 9, 2022, 9:00:00",BCHUSDT,0.01,0.03
130,"Feb 9, 2022, 9:00:00",XRPUSDT,0.01,0.03
131,"Feb 9, 2022, 9:00:00",ETHUSDT,0.01,0.03
132,"Feb 9, 2022, 9:00:00",XBTUSDT,0.01,0.03
133,"Feb 9, 2022, 9:00:00",SOLUSD,0.01,0.03
134,"Feb 9, 2022, 9:00:00",LINKUSD,0.0202,0.0606
135,"Feb 9, 2022, 9:00:00",EOSUSD,0.01,0.03
136,"Feb 9, 2022, 9:00:00",AXSUSD,0.0029,0.0087
137,"Feb 9, 2022, 9:00:00",DOTUSD,0.01,0.03
138,"Feb 9, 2022, 9:00:00",BNBUSD,0.01,0.03
139,"Feb 9, 2022, 9:00:00",DOGEUSD,0.012,0.036
140,"Feb 9, 2022, 9:00:00",ADAUSD,0.01,0.03
141,"Feb 9, 2022, 9:00:00",AVAXUSD,0.01,0.03
142,"Feb 9, 2022, 9:00:00",LUNAUSD,0.01,0.03
143,"Feb 9, 2022, 9:00:00",MATICUSDT,0.01,0.03
144,"Feb 9, 2022, 9:00:00",XBTEUR,0,0
145,"Feb 9, 2022, 9:00:00",SOLUSDT,0.01,0.03
146,"Feb 9, 2022, 9:00:00",BNBUSDT,0.01,0.03
147,"Feb 9, 2022, 9:00:00",ADAUSDT,0.01,0.03
148,"Feb 9, 2022, 9:00:00",DOTUSDT,0.01,0.03
149,"Feb 9, 2022, 9:00:00",DOGEUSDT,0.01,0.03
150,"Feb 9, 2022, 9:00:00",LTCUSD,0.01,0.03
151,"Feb 9, 2022, 9:00:00",BCHUSD,0.01,0.03
152,"Feb 9, 2022, 9:00:00",XRPUSD,0.024,0.072
153,"Feb 9, 2022, 9:00:00",ETHUSD,0.0161,0.0483
154,"Feb 9, 2022, 9:00:00",XBTUSD,-0.0094,-0.0282
155,"Feb 9, 2022, 1:00:00",MANAUSDT,0.01,0.03
156,"Feb 9, 2022, 1:00:00",SANDUSDT,0.01,0.03
157,"Feb 9, 2022, 1:00:00",FTMUSDT,0.01,0.03
158,"Feb 9, 2022, 1:00:00",SHIBUSDT,0.01,0.03
159,"Feb 9, 2022, 1:00:00",LTCUSDT,0.01,0.03
160,"Feb 9, 2022, 1:00:00",BCHUSDT,0.01,0.03
161,"Feb 9, 2022, 1:00:00",XRPUSDT,0.01,0.03
162,"Feb 9, 2022, 1:00:00",ETHUSDT,0.01,0.03
163,"Feb 9, 2022, 1:00:00",XBTUSDT,0.01,0.03
164,"Feb 9, 2022, 1:00:00",SOLUSD,0.0268,0.0804
165,"Feb 9, 2022, 1:00:00",LINKUSD,0.0348,0.1044
166,"Feb 9, 2022, 1:00:00",EOSUSD,0.01,0.03
167,"Feb 9, 2022, 1:00:00",AXSUSD,-0.013,-0.039
168,"Feb 9, 2022, 1:00:00",DOTUSD,0.01,0.03
169,"Feb 9, 2022, 1:00:00",BNBUSD,0.01,0.03
170,"Feb 9, 2022, 1:00:00",DOGEUSD,0.0252,0.0756
171,"Feb 9, 2022, 1:00:00",ADAUSD,0.0322,0.0966
172,"Feb 9, 2022, 1:00:00",AVAXUSD,0.01,0.03
173,"Feb 9, 2022, 1:00:00",LUNAUSD,0.01,0.03
174,"Feb 9, 2022, 1:00:00",MATICUSDT,0.01,0.03
175,"Feb 9, 2022, 1:00:00",XBTEUR,0.0016,0.0048
176,"Feb 9, 2022, 1:00:00",SOLUSDT,0.01,0.03
177,"Feb 9, 2022, 1:00:00",BNBUSDT,0.01,0.03
178,"Feb 9, 2022, 1:00:00",ADAUSDT,0.01,0.03
179,"Feb 9, 2022, 1:00:00",DOTUSDT,0.01,0.03
180,"Feb 9, 2022, 1:00:00",DOGEUSDT,0.01,0.03
181,"Feb 9, 2022, 1:00:00",LTCUSD,0.01,0.03
182,"Feb 9, 2022, 1:00:00",BCHUSD,0.01,0.03
183,"Feb 9, 2022, 1:00:00",XRPUSD,0.0196,0.0588
184,"Feb 9, 2022, 1:00:00",ETHUSD,0.033,0.099
185,"Feb 9, 2022, 1:00:00",XBTUSD,0.0079,0.0237
186,"Feb 9, 2022, 5:00:00",MANAUSDT,0.01,0.03
187,"Feb 9, 2022, 5:00:00",SANDUSDT,0.01,0.03
188,"Feb 9, 2022, 5:00:00",FTMUSDT,0.01,0.03
189,"Feb 9, 2022, 5:00:00",SHIBUSDT,0.01,0.03
190,"Feb 9, 2022, 5:00:00",LTCUSDT,0.01,0.03
191,"Feb 9, 2022, 5:00:00",BCHUSDT,0.01,0.03
192,"Feb 9, 2022, 5:00:00",XRPUSDT,0.01,0.03
193,"Feb 9, 2022, 5:00:00",ETHUSDT,0.01,0.03
194,"Feb 9, 2022, 5:00:00",XBTUSDT,0.01,0.03
195,"Feb 9, 2022, 5:00:00",SOLUSD,0.01,0.03
196,"Feb 9, 2022, 5:00:00",LINKUSD,0.0148,0.0444
197,"Feb 9, 2022, 5:00:00",EOSUSD,0.01,0.03
198,"Feb 9, 2022, 5:00:00",AXSUSD,-0.0059,-0.0177
199,"Feb 9, 2022, 5:00:00",DOTUSD,0.01,0.03
200,"Feb 9, 2022, 5:00:00",BNBUSD,0.01,0.03
201,"Feb 9, 2022, 5:00:00",DOGEUSD,0.0195,0.0585
202,"Feb 9, 2022, 5:00:00",ADAUSD,0.01,0.03
203,"Feb 9, 2022, 5:00:00",AVAXUSD,0.01,0.03
204,"Feb 9, 2022, 5:00:00",LUNAUSD,0.01,0.03
205,"Feb 9, 2022, 5:00:00",MATICUSDT,0.01,0.03
206,"Feb 9, 2022, 5:00:00",XBTEUR,0.01,0.03
207,"Feb 9, 2022, 5:00:00",SOLUSDT,0.01,0.03
208,"Feb 9, 2022, 5:00:00",BNBUSDT,0.01,0.03
209,"Feb 9, 2022, 5:00:00",ADAUSDT,0.01,0.03
210,"Feb 9, 2022, 5:00:00",DOTUSDT,0.01,0.03
211,"Feb 9, 2022, 5:00:00",DOGEUSDT,0.01,0.03
212,"Feb 9, 2022, 5:00:00",LTCUSD,0.01,0.03
213,"Feb 9, 2022, 5:00:00",BCHUSD,0.01,0.03
214,"Feb 9, 2022, 5:00:00",XRPUSD,0.0152,0.0456
215,"Feb 9, 2022, 5:00:00",ETHUSD,0.01,0.03
216,"Feb 9, 2022, 5:00:00",XBTUSD,-0.0045,-0.0135
217,"Feb 8, 2022, 9:00:00",MANAUSDT,0.01,0.03
218,"Feb 8, 2022, 9:00:00",SANDUSDT,0.01,0.03
219,"Feb 8, 2022, 9:00:00",FTMUSDT,0.01,0.03
220,"Feb 8, 2022, 9:00:00",SHIBUSDT,0.01,0.03
221,"Feb 8, 2022, 9:00:00",LTCUSDT,0.01,0.03
222,"Feb 8, 2022, 9:00:00",BCHUSDT,0.01,0.03
223,"Feb 8, 2022, 9:00:00",XRPUSDT,0.01,0.03
224,"Feb 8, 2022, 9:00:00",ETHUSDT,0.01,0.03
225,"Feb 8, 2022, 9:00:00",XBTUSDT,0.01,0.03
226,"Feb 8, 2022, 9:00:00",SOLUSD,0.019,0.057
